Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/23,0.4,0.83,0.32,0.28,0.2,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.13,0.03,0.48,0.08,0.0,0.0,0.0,0.0,0.0,6.17,16.42,2.82
Month,Student,Active,02/01/23,3.7,1.15,2.18,1.67,3.08,2.03,1.38,1.42,1.68,1.42,2.32,2.75,3.63,2.37,2.12,1.87,0.45,0.0,0.0,0.0,0.0,46.53,305.28,35.22
Month,Student,Active,01/01/23,1.57,2.12,1.77,2.58,1.2,1.73,0.85,0.9,1.18,1.5,1.18,1.57,2.37,3.9,5.28,3.97,4.62,0.78,0.0,0.0,0.0,57.47,429.12,39.07
Month,Student,Active,12/01/22,8.58,3.65,4.95,1.83,1.28,0.77,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73,52.8,21.57
Month,Student,Active,11/01/22,0.02,0.05,0.0,0.15,0.1,0.33,0.17,0.1,0.13,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,7.77,1.18
Month,Student,Active,10/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0
Month,Student,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Student,All,03/01/23,0.37,0.02,0.13,0.2,1.3,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.07,0.05,0.05,0.52,0.08,0.0,0.0,0.0,0.0,6.17,20.48,2.83
Month,Student,All,02/01/23,4.8,1.48,1.3,1.17,1.55,3.12,1.68,2.13,1.33,1.52,1.62,2.35,2.87,2.3,4.13,3.55,0.83,0.0,0.0,0.0,0.0,46.53,347.22,37.73
Month,Student,All,01/01/23,1.12,1.9,1.82,2.07,1.15,1.62,1.03,0.62,0.77,1.55,1.03,0.9,1.42,1.58,3.7,5.38,9.83,1.88,0.0,0.0,0.0,57.47,474.1,39.37
Month,Student,All,12/01/22,8.25,2.85,7.1,2.7,1.23,0.72,0.33,0.28,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73,63.97,23.78
Month,Student,All,11/01/22,0.02,0.05,0.0,0.02,0.02,0.2,0.05,0.48,0.15,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,9.28,1.2
Month,Student,All,10/01/22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.03,0.03
Month,Student,All,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Teacher,Active,03/01/23,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0.87,0.87
Month,Teacher,Active,02/01/23,7.63,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.53,8.37,8.0
Month,Teacher,Active,01/01/23,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47,3.55,3.55
Month,Teacher,Active,12/01/22,7.37,2.37,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73,14.55,10.55
Month,Teacher,Active,11/01/22,0.97,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,1.17,1.07
Month,Teacher,Active,10/01/22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.03,0.03
Month,Teacher,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Teacher,All,03/01/23,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0.87,0.87
Month,Teacher,All,02/01/23,7.97,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.53,8.7,8.33
Month,Teacher,All,01/01/23,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47,6.55,6.55
Month,Teacher,All,12/01/22,8.55,3.33,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73,17.67,12.7
Month,Teacher,All,11/01/22,0.97,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,1.17,1.07
Month,Teacher,All,10/01/22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.03,0.03
Month,Teacher,All,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Week,Student,Active,03/20/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0
Week,Student,Active,03/13/23,0.27,0.83,0.3,0.28,0.2,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.13,0.03,0.48,0.08,0.0,0.0,0.0,0.0,0.0,5.43,16.23,2.67
Week,Student,Active,03/06/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,02/27/23,1.17,0.3,0.97,0.35,1.25,0.62,0.63,0.25,0.38,0.33,0.37,0.83,0.97,0.7,1.18,1.67,0.45,0.0,0.0,0.0,0.0,14.17,117.7,12.42
Week,Student,Active,02/20/23,0.07,0.05,0.03,0.08,0.12,0.17,0.22,0.2,0.28,0.28,0.43,0.33,1.23,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,4.1,37.9,3.67
Week,Student,Active,02/13/23,0.78,0.4,0.93,0.83,0.9,0.47,0.17,0.45,0.28,0.43,0.52,0.8,0.63,0.18,0.27,0.03,0.0,0.0,0.0,0.0,0.0,10.33,57.28,8.08
Week,Student,Active,02/06/23,1.3,0.4,0.08,0.22,0.42,0.63,0.25,0.2,0.45,0.12,0.45,0.08,0.23,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,8.68,33.18,5.28
Week,Student,Active,01/30/23,0.7,0.2,0.55,0.57,0.63,0.55,0.4,0.7,0.8,1.17,1.23,1.4,1.87,2.92,2.8,1.27,0.2,0.0,0.0,0.0,0.0,24.8,199.88,17.95
Week,Student,Active,01/23/23,0.28,0.15,0.43,0.32,0.23,0.33,0.37,0.48,0.63,0.53,0.43,0.77,0.97,2.03,2.52,2.02,2.88,0.0,0.0,0.0,0.0,16.15,197.82,15.38
Week,Student,Active,01/16/23,0.9,0.48,0.97,1.88,0.73,1.0,0.2,0.03,0.03,0.05,0.07,0.1,0.1,0.13,0.32,0.85,1.53,0.78,0.0,0.0,0.0,15.22,88.05,10.17
Week,Student,Active,01/09/23,0.2,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72,2.77,1.48
Week,Student,Active,01/02/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,12/26/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
Week,Student,Active,12/19/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,12/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,12/05/22,4.28,1.52,1.23,1.5,1.28,0.77,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,31.75,11.08
Week,Student,Active,11/28/22,4.3,2.13,3.72,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,21.05,10.48
Week,Student,Active,11/21/22,0.02,0.05,0.0,0.15,0.1,0.33,0.17,0.1,0.13,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.77,1.18
Week,Student,Active,11/14/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0
Week,Student,Active,11/07/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,10/31/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,10/24/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,10/17/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,10/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,10/03/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,09/26/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0
Week,Student,Active,09/20/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Week,Student,All,03/20/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0
Week,Student,All,03/13/23,0.22,0.02,0.12,0.2,1.3,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.07,0.05,0.05,0.52,0.08,0.0,0.0,0.0,0.0,5.43,20.28,2.67
Week,Student,All,03/06/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,All,02/27/23,1.78,0.35,0.55,0.1,0.23,1.52,0.8,0.62,0.33,0.28,0.33,0.32,0.9,0.87,1.55,2.02,0.58,0.0,0.0,0.0,0.0,14.17,127.9,13.13
Week,Student,All,02/20/23,0.07,0.05,0.02,0.05,0.12,0.18,0.13,0.1,0.23,0.38,0.23,0.28,0.55,0.32,1.02,0.0,0.0,0.0,0.0,0.0,0.0,4.1,42.57,3.73
Week,Student,All,02/13/23,0.75,0.83,0.58,0.75,0.6,0.8,0.55,0.52,0.35,0.22,0.22,0.63,0.8,0.43,0.55,0.17,0.2,0.0,0.0,0.0,0.0,10.33,69.03,8.95
Week,Student,All,02/06/23,1.2,0.2,0.15,0.1,0.18,0.45,0.17,0.85,0.25,0.33,0.38,0.43,0.18,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0.0,8.68,40.07,5.48
Week,Student,All,01/30/23,1.25,0.15,0.22,0.27,0.85,0.45,0.38,0.3,0.53,0.87,1.15,1.03,0.88,1.15,3.05,4.05,2.15,0.0,0.0,0.0,0.0,24.8,228.5,18.73
Week,Student,All,01/23/23,0.07,0.08,0.65,0.37,0.07,0.3,0.2,0.35,0.37,0.93,0.28,0.43,0.9,0.68,1.15,2.23,6.38,0.0,0.0,0.0,0.0,16.15,213.7,15.45
Week,Student,All,01/16/23,0.77,0.4,0.97,1.6,0.65,1.03,0.48,0.02,0.03,0.05,0.05,0.12,0.07,0.08,0.27,0.47,1.35,1.88,0.0,0.0,0.0,15.22,96.93,10.28
